plz,district,name,street,house_number,provider,licensed_capacity
10997,Friedrichshain-Kreuzberg,Kita Schlesische Str. 3-4/Kigä City,Schlesische Str.,003,Kindergärten City,130
10997,Friedrichshain-Kreuzberg,Kita Pücklerstr. 12/Kigä City,Pücklerstr.,012,Kindergärten City,108
10997,Friedrichshain-Kreuzberg,Ev. Kita Tabor,Cuvrystr.,036,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,103
10997,Friedrichshain-Kreuzberg,Europa-Kita VAK e.V. Oranienstr. 4,Oranienstr.,004,VAK e.V. - Kindertagesstätten,93
10997,Friedrichshain-Kreuzberg,EKT - Kinderhaus Waldemar Elterninitiative,Waldemarstr.,057,Kinderhaus Waldemar - Elterninitiative e.V.,85
10997,Friedrichshain-Kreuzberg,EKT - Nestwärme,Wrangelstr.,031,"Nestwärme - Verein zur Betreuung u. Beratung von AIDS-betroffenen Familien, Kindern u. Jugendlichen e.V.",70
10997,Friedrichshain-Kreuzberg,Eltern-Kind-Gruppe Kreuzberg-Nord,Mariannenplatz,002A,Eltern-Kindergruppe Kreuzberg-Nord e.V.,55
10997,Friedrichshain-Kreuzberg,KOTTI e.V.,Adalbertstr.,87,KOTTI - Nachbarschafts- und Gemeinwesenverein am Kottbusser Tor e.V.,50
10997,Friedrichshain-Kreuzberg,Kita Lübbener Str. 6/Kigä City,Lübbener Str.,006,Kindergärten City,48
10997,Friedrichshain-Kreuzberg,Kita Piya,Muskauer Str.,044,Verein der Eltern aus Kurdistan in Deutschland e.V. (Yekmal),45
10997,Friedrichshain-Kreuzberg,Ev. Kita St. Thomas,Bethaniendamm,027,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,40
10997,Friedrichshain-Kreuzberg,EKT - Plutonia,Görlitzer Str.,032,P l u t o n i a e. V.,38
10997,Friedrichshain-Kreuzberg,Eltern-Kinder-Schülergruppe Modell Florian,Waldemarstr.,057,"Eltern-Kinder-Gruppe ""Florian"" e. V.",35
10997,Friedrichshain-Kreuzberg,Kinder aus Kreuzberg,Lausitzer Platz,002,Kinder aus Kreuzberg e.V.,30
10997,Friedrichshain-Kreuzberg,EKT Schippe und Eimer,Muskauer Str.,055,Schippe und Eimer e.V.,30
10997,Friedrichshain-Kreuzberg,EKT - Affentanz,Mariannenstr.,047,Affentanz e.V.,29
10997,Friedrichshain-Kreuzberg,EKT - Kinder einer Erde,Lübbener Str.,026,Kinder einer Erde e. V.,28
10997,Friedrichshain-Kreuzberg,"Krümelkinder, Görlitzer Straße",Cuvrystr.,039,"Krümelkinder,Görlitzer Str. e.V.",25
10997,Friedrichshain-Kreuzberg,EKT - Leierkasten,Muskauer Str.,043,Kinderladen Leierkasten e.V.,25
10997,Friedrichshain-Kreuzberg,Waldorfkindertagesstätte im FORUM Kreuzberg,Eisenbahnstr.,009,Forum Kreuzberg e.V.,25
10997,Friedrichshain-Kreuzberg,EKT - Löwenhöhle,Wrangelstr.,063,Löwenhöhle e. V.,24
10997,Friedrichshain-Kreuzberg,Kita Köpenicker Straße 174,Köpenicker Str.,174,Forum Kreuzberg e.V.,24
10997,Friedrichshain-Kreuzberg,EKT Schokokids,Naunynstr.,072,EKT-Schokokids e. V.,23
10997,Friedrichshain-Kreuzberg,Kita Till Eulenspiegel-Kette,Adalbertstr.,023B,"Eltern - Kinder - Schüler - Gruppe ""Till Eulenspiegel Kette"" e.V.",22
10997,Friedrichshain-Kreuzberg,EKT Mauseblitz,Cuvrystr.,024,EKT MAUSEBLITZ e. V.,20
10997,Friedrichshain-Kreuzberg,EKT - Langer Rüssel,Mariannenstr.,048,Schülerladen `Langer Rüssel` e.V.,20
10997,Friedrichshain-Kreuzberg,Kinderladen Muko,Muskauer Str.,033,Kinderladen Muko e.V.,20
10997,Friedrichshain-Kreuzberg,EKT - Munkelrübe,Taborstr.,021,Waldorfkinderladen Munkelrübe e. V.,20
10997,Friedrichshain-Kreuzberg,Waldorfkindertagesstätte im Forum Kreuzberg,Eisenbahnstr.,021,Forum Kreuzberg e.V.,20
10997,Friedrichshain-Kreuzberg,Kinderladen Cuvrybande,Cuvrystr.,021,Kinderladen Cuvrybande e. V.,20
10997,Friedrichshain-Kreuzberg,EKT - Rübezahl,Falckensteinstr.,020,Rübezahl e.V.,17
